29	4573	1
29	37973	1
36	164	1
36	167	1
36	296	1
36	1507	1
36	2465	1
36	3939	1
36	5067	1
36	5444	1
36	6104	1
36	6566	1
36	453869	1
36	422664	1
36	422746	1
36	371638	1
36	369090	1
36	369527	1
36	93589	1
36	56373	1
36	56763	1
36	2324	1
36	19795	1
36	7794	1
66	553	1
66	616	1
66	1507	1
66	1780	1
66	1965	1
66	3676	1
66	3939	1
66	4337	1
66	4573	1
66	6104	1
66	6454	1
66	6566	1
66	10957	1
66	33184	1
66	45588	1
66	56368	1
66	56490	1
66	56768	1
66	69483	1
66	368511	1
66	369090	1
66	422686	1
66	366801	1
66	367555	1
66	368857	1
66	1494	1
66	56494	1
66	215	1
66	1779	1
66	7794	1
85	3599	1
89	1836	1
91	164	1
91	733	1
91	4605	1
91	147423	1
91	119631	1
91	367317	1
91	367527	1
91	371650	1
91	576	1
91	4347	1
92	296	1
92	1623	1
92	2101	1
92	7335	1
93	580	1
131	2537	1
131	3641	1
131	6172	1
131	6520	1
131	14057	1
131	17429	1
131	23936	1
131	26880	1
131	37330	1
131	378377	1
131	369527	1
131	2324	1
136	368511	1
136	378730	1
136	369527	1
136	368857	1
136	374552	1
136	1494	1
136	11269	1
136	2324	1
136	1779	1
136	7203	1
136	37413	1
140	664	1
140	4586	1
140	5428	1
140	11188	1
140	43576	1
140	371509	1
140	4207	1
140	7794	1
141	11188	1
141	43576	1
145	366584	1
145	368511	1
145	366801	1
145	20861	1
145	46	1
145	1494	1
145	215	1
157	4289	1
165	523	1
165	552	1
165	36541	1
165	367345	1
165	395255	1
165	599	1
166	5972	1
166	8096	1
166	56342	1
166	422656	1
166	367555	1
166	367527	1
166	367550	1
167	4289	1
179	1623	1
186	4289	1
187	117	1
187	32997	1
187	366787	1
187	203669	1
191	196	1
191	3676	1
191	3988	1
191	5551	1
191	14134	1
191	16331	1
191	41260	1
191	56074	1
191	56326	1
191	56342	1
191	56490	1
191	56495	1
191	56515	1
191	56722	1
191	56752	1
191	418429	1
191	367345	1
191	3913	1
191	422656	1
191	422686	1
191	439984	1
191	371198	1
191	638866	1
191	366771	1
191	52314	1
191	599	1
191	56494	1
191	3881	1
191	195	1
191	7794	1
197	1902	1
197	3685	1
197	19773	1
197	56490	1
197	369005	1
197	638866	1
197	387245	1
197	1901	1
211	691	1
213	216	1
213	6194	1
213	56490	1
213	422686	1
213	638866	1
213	366800	1
